
Activity tracker,Health & fitness
Air travel,Travel & local
Art & design,Art & design
Audio recorder,Music & audio
Audiobook,Books & reference
Auto & vehicles,Auto & vehicles
Baby care,Parenting
Barcode scanner,Tools
Baseball,Sports
Beauty,Beauty
Blog,Social
Boating,Sports
Books & reference,Books & reference
Bus,Public transport - Travel & local
Business,Business
Calculator,Tools
Calendar,Productivity
Call recording,Tools
Caller ID,Communication
Camera,Photography
Car hire,Travel & local
Children's literature,Books & reference
Clock, alarm & timer - Tools
Colour by number, Art & design - Colouring book - Entertainment
Colouring book, Art & design - Colouring book - Entertainment
Comics,
Communication,Communication
Computer-aided design,Productivity
Cosmetics,Beauty
Cryptocurrency,Finance
Dating,
Dictionary,Books & reference
Dieting,Health & fitness
Driver's education,Education
Early childhood education,Education
Education,Education
Email,Communication
Emoji,Personalisation
Emoticon,Personalisation
Encyclopaedia,Books & reference
Entertainment,Entertainment
Events
Fashion,Shopping
Finance,Finance
Food & drink,Food & drink
Food delivery,Food & drink
Grammar,Education - Language education
Guitar, Music & audio - Musical instrument
Hairstyle,Beauty
Health & fitness,Health & fitness
Home automation,House & home
Home insurance,Finance - Insurance
Horoscope,Lifestyle
Horse racing,Sports
Hotels & holiday rentals,Travel & local
House & home,House & home
Humour,Entertainment - Humour
Insurance,Finance - Insurance
Interior design,House & home
Investment,Finance
Job interview,Business - Job seeking
Job seeking,Business - Job seeking
Joke,Entertainment - Humour
Karaoke,Music & audio
Keyboard,Personalisation
Language education,Education - Language education
Launcher,Personalisation
Lifestyle,Lifestyle
Live television,Entertainment - TV
Loan,Finance
Lock screen,Personalisation
Loyalty programme,Shopping
Lyrics,Music & audio
Maps & navigation,
Martial arts,Sports
Mathematics,Education
Measurement,Tools
Medical
Meditation,Health & fitness
Meet new people,Social
Mirror,Tools
Mobile banking,Finance
Mobile payment,Finance
Movie,Entertainment - Movie
Movie tickets - reviews & listings,Entertainment - Movie
Music & audio,Music & audio
Musical instrument,Music & audio - Musical instrument
Network connectivity,Network connectivity - Tools
News & magazines,News & magazines
News aggregator,News & magazines
Notebook,Productivity
Painting,Art & design
Parenting,Parenting
Password manager,Privacy & security - Tools
Personal assistant,Tools
Personal finance,Finance
Personalisation,Personalisation
Photo editor,Photo editor -  Photography
Photo frame,Photo editor -  Photography
Photography,Photography
Prank,Entertainment - Humour
Primary education,Education
Privacy & security,Privacy & security - Tools,
Productivity,Productivity
Professional network service,Business -  Job seeking
Pronunciation,Education -  Language education
Public transport,Public transport -  Travel & local
Racing,Sports
Racquet sports,Sports
Radio,Music & audio
Recipe,Food & drink
Religious text,Books & reference
Remote control,Tools
Restaurant,Food & drink
Resume,Business - Job seeking
Ringtone,Personalisation
Rugby,Sports
Running,Sports
Science education,Education
Self-help,Lifestyle
Shopping,Shopping
Skiing,Sports
Sleep,Health & fitness
Social,Social
Sound effect,Music & audio
Speedometer,Auto & vehicles
Sports,Sports
Sports coaching,Sports
Study guide,Education
TV,Entertainment - TV
TV guide,Entertainment - TV
Taxi & lift-share,Travel & local
Tennis,Sports
Test preparation,Education
Text messaging,Communication
Theme,Personalisation,
Tools,Tools
Torch,Tools
Train,Public transport - Travel & local
Travel & local,Travel & local
Travel guide,Travel & local
Vehicle insurance,Finance - Insurance
Vehicle maintenance,Auto & vehicles
Vehicle shopping,Auto & vehicles
Video call,Communication
Video download,Video players & editors
Video editing,Video players & editors
Video player,Video players & editors
Video players & editors,Video players & editors
Video streaming,Video players & editors
Virtual private network (VPN),Network connectivity - Tools
Virtual reality,Entertainment
Wallpaper,Personalisation
Watch face,Personalisation -  Watch face
Watch face: Anime,Personalisation -  Watch face
Watch face: Art,Personalisation -  Watch face
Watch face: Cartoon,Personalisation -  Watch face
Watch face: Classic,Personalisation -  Watch face
Watch face: Games,Personalisation -  Watch face
Watch face: Holiday,Personalisation -  Watch face
Watch face: Music,Personalisation -  Watch face
Watch face: Nature,Personalisation -  Watch face
Watch face: Sports,Personalisation -  Watch face
Weather,Web browser,Tools
Weight loss,Health & fitness
Wi-Fi,Network connectivity - Tools
Wireless service provider,Communication
Workout,Health & fitness, Workout
Yoga,Health & fitness, Workout
eReader,Books & reference
